organization_name,address,lat,lon,hours,phone,pet_friendly,wheelchair_accessible,storage_available,requires_id,harm_reduction,bypass_pathway,intake_preparation,occupancy_ratio,sector
Moss Park Warming Centre,"33 Howard St, Toronto",43.654,-79.3727,24/7 during extreme cold,416-338-4766,False,True,False,False,True,"If full, call Central Intake 416-338-4766 for alternate location.",Low-barrier 24/7 access. Bring only essentials. No alcohol inside.,0.55,Co-ed
Out of the Cold - Metro United Church,"56 Queen St E, Toronto",43.653,-79.3785,Mon/Wed/Fri 6PM-8AM (winter),416-363-9549,False,False,False,False,True,Seasonal — contact to confirm operational.,Bring ID if you have it. Dinner included. Safe and welcoming.,0.45,Co-ed
Sprott House Warming Room,"1110 Lawrence Ave W, North York",43.721,-79.462,Daily 6PM-9AM (extreme cold),416-249-4149,False,True,False,False,True,Activated by City of Toronto extreme cold protocol.,Walk-in. No registration required during cold alerts.,0.4,Co-ed
Salvation Army Toronto Tabernacle Respite,"393 Queen St W, Toronto",43.6479,-79.3987,Daily 8AM-8PM,416-598-2020,False,True,True,False,True,Day respite. Meals and rest area available.,Safe indoor seating available all day. Pets accommodated when space allows.,0.5,Co-ed
Good Shepherd Men's Hostel Respite,"412 Queen St E, Toronto",43.6516,-79.3638,24/7,416-869-3619,False,True,True,False,True,Men's respite service. Meals and beds available.,Walk-in for men. Dinner served at 6 PM.,0.65,Men
Sistering Women's Drop-In Respite,"962 Bloor St W, Toronto",43.6602,-79.4225,Mon-Sat 8AM-8PM,416-926-9762,False,True,False,False,True,Women-only safe respite space.,No men permitted. Safe and welcoming for trans women. Meals provided.,0.42,Women
Central Respite (Fred Victor),"145 Queen St E, Toronto",43.6536,-79.3717,24/7,416-364-8228,False,True,True,False,True,24-hour co-ed respite. Showers and meals available.,Walk-in. Low-barrier intake process.,0.58,Co-ed
Scarborough Respite Site,"2425 Eglinton Ave E, Scarborough",43.7301,-79.265,Daily 6PM-9AM (extreme cold),416-431-8200,False,True,False,False,True,East Toronto warming/respite. Activated during cold alerts.,Call ahead to confirm capacity. Central Intake: 416-338-4766.,0.35,Co-ed
Etobicoke Warming Centre,"379 The West Mall, Etobicoke",43.6505,-79.5445,During extreme cold only,416-394-8000,False,True,False,False,True,Etobicoke warming activated by City extreme cold protocol.,Bus accessible. No registration required.,0.3,Co-ed
Youth Without Shelter Respite,"6 Warrendale Ct, Etobicoke",43.7043,-79.5596,24/7 for youth,416-748-0110,False,True,True,False,True,Youth-specific respite. Ages 16-24 only.,No ID required. Meals provided. Safe space for all youth.,0.45,Youth
Downsview Winter Respite,"2811 Keele St, North York",43.7435,-79.4849,Daily 6PM-9AM (winter),416-638-6009,False,True,False,False,True,North York warming. Seasonal activation.,Walk-in. Blankets provided. Light refreshments.,0.28,Co-ed
Parkdale Respite (St. Felix),"25 Augusta Ave, Toronto",43.6527,-79.4018,Mon-Fri 9AM-5PM,416-203-1600,False,True,False,False,True,Daytime respite during business hours.,Quiet indoor space. Meals at 12:30 PM.,0.35,Co-ed
Regent Park Overnight Respite,"40 Oak St, Toronto",43.6572,-79.3627,Nightly 8PM-7AM,416-392-0310,True,True,True,False,True,Overnight low-barrier respite in Regent Park.,Pet-friendly. No registration. Blankets and light snacks.,0.5,Co-ed
Margaret's Housing and Community Support (Women's Respite),"4 Florence St, Toronto",43.6432,-79.4142,24/7 women,416-531-5141,False,True,False,False,True,Women and non-binary low-barrier respite.,Welcoming. No intake barriers. Call ahead if possible.,0.4,Women
Metro Hall Emergency Warming,"55 John St, Toronto",43.6473,-79.3899,During extreme cold — activated by City,311,False,True,False,False,True,City-operated emergency warming centre in Metro Hall.,Large capacity. Open during official City extreme cold alerts. Call 311 for status.,0.2,Co-ed
